File_ID,Cik,Company_Name,Company_Name_Clean,Ticker,Generated_File_Name,Form,Filed,Period_Of_Report,Financial_Year,Quarter,Items,Item_Description,Accession,Primary_Doc,Doc_Type,Link_File_Type,Content_Type,Filing_Index_Url,File_Link,S3_Upload_Status,S3_Upload_Comments,S3_Upload_Count,S3_Bucket_Name,S3_Folder_Name,Chunking_Status,Chunking_Comments,Runtime
BZ1,1045810,NVIDIA CORP,NVIDIA_CORP,NVDA,NVIDIA_CORP_0_Quarterly_Report_Q1_FY27_BZ1.htm,10-Q,20-05-2026,26-04-2026,FY27,Q1,,,0001045810-26-000052,nvda-20260426.htm,10-Q,htm,Quarterly Report,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000052/0001045810-26-000052-index.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000052/nvda-20260426.htm,,,0,adqvest-data-bucket,US_SEC_INVESTOR_PRESENTATIONS,,,17-06-2026 11:52
BZ2,1045810,NVIDIA CORP,NVIDIA_CORP,NVDA,NVIDIA_CORP_0_Current_Report_Q2_FY27_BZ2.htm,8-K,20-05-2026,20-05-2026,FY27,Q2,"2.02,9.01",Results of Operations and Financial Condition; Financial Statements and Exhibits,0001045810-26-000051,nvda-20260520.htm,8-K,htm,Current Report,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000051/0001045810-26-000051-index.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000051/nvda-20260520.htm,,,0,adqvest-data-bucket,US_SEC_INVESTOR_PRESENTATIONS,,,17-06-2026 11:52
