HTS Number,Description,Year,Country,January,February,March,April,May,June,July,August,September,October,November,December,Variable
401190,"NEW PNEUMATIC TIRES OF RUBBER, NESOI",2019,Greenland,0,0,"5,215",0,0,0,0,0,0,0,0,"7,261",FAS Value
630622,"TENTS, OF SYNTHETIC FIBERS",2019,Greenland,0,0,0,0,0,0,0,0,0,0,"6,491",0,FAS Value
630790,"MADE-UP TEXTILE ARTICLES, NESOI",2019,Greenland,0,0,0,0,0,0,0,0,0,0,"2,850",0,FAS Value
700719,"TOUGHENED (TEMPERED) SAFETY GLASS, NOT SUITABLE FOR INCORPORATION IN VEHICLES, AIRCRAFT, SPACECRAFT OR VESSELS",2019,Greenland,"7,071",0,0,0,0,0,0,0,0,0,0,0,FAS Value
732690,"ARTICLES OF IRON OR STEEL, NESOI",2019,Greenland,0,0,0,0,0,0,0,0,0,0,"2,638",0,FAS Value
840734,"SPARK-IGNITION RECIPROCATING PISTON ENGINES FOR PROPULSION OF VEHICLES EXCEPT RAILWAY OR TRAMWAY STOCK, OVER 1,000 CC CYLINDER CAPACITY",2019,Greenland,0,0,0,0,0,0,0,"8,406",0,0,0,0,FAS Value
841330,"FUEL, LUBRICATING OR COOLING MEDIUM PUMPS FOR INTERNAL COMBUSTION PISTON ENGINES",2019,Greenland,0,0,"35,000",0,0,0,0,0,0,0,0,0,FAS Value
842489,"MECHANICAL APPLIANCES FOR PROJECTING, DISPERSING OR SPRAYING LIQUIDS OR POWDERS, NESOI",2019,Greenland,0,0,"12,000",0,0,0,0,0,0,0,0,0,FAS Value
842542,"JACKS AND HOISTS, HYDRAULIC, EXCEPT BUILT-IN JACKING SYSTEMS USED IN GARAGES",2019,Greenland,0,0,"28,100",0,0,0,0,0,0,0,0,0,FAS Value
843149,"PARTS AND ATTACHMENTS, NESOI, FOR DERRICKS, CRANES, SELF-PROPELLED BULLDOZERS, GRADERS ETC. AND OTHER GRADING, SCRAPING, ETC. MACHINERY",2019,Greenland,0,"3,815",0,0,0,0,0,0,0,0,0,0,FAS Value
847130,"PORTABLE DIGTL AUTOMATIC DATA PROCESSING MACHINES, WEIGHT NOT MORE THAN 10 KG, CONSISTING OF AT LEAST A CENTRAL PROCESSING UNIT, KEYBOARD & A DISPLAY",2019,Greenland,0,0,"20,350",0,0,0,0,0,0,0,0,0,FAS Value
847150,"DIGITAL PROCESSING UNITS OTHER THAN THOSE OF 8471.41 AND 8471.49, N.E.S.O.I.",2019,Greenland,0,0,0,0,0,0,0,0,0,"4,521",0,0,FAS Value
847170,"AUTOMATIC DATA PROCESSING STORAGE UNITS, N.E.S.O.I.",2019,Greenland,"13,201",0,"54,000",0,0,0,0,0,0,0,0,0,FAS Value
847190,"AUTOMATIC DATA PROCESSING UNTS THEREOF; MAGNETIC/OPTICAL READERS, MACH FOR TRANSCRIBING DATA TO DATA MEDIA IN CODED FORM & MACH FOR PROC DATA, NESOI",2019,Greenland,0,0,"11,173",0,0,0,0,0,0,0,0,0,FAS Value
847330,"PARTS AND ACCESSORIES FOR AUTOMATIC DATA PROCESSING MACHINES AND UNITS THEREOF, MAGNETIC OR OPTICAL READERS, TRANSCRIBING MACHINES, ETC., NESOI",2019,Greenland,"2,940",0,"3,188",0,0,0,0,0,0,0,0,0,FAS Value
851712,TELEPHONES FOR CELLULAR NETWORKS OR FOR OTHER WIRELESS NETWORKS,2019,Greenland,0,0,0,"60,000",0,0,0,0,0,0,0,0,FAS Value
851762,"MACHINES FOR THE RECEPTION, CONVERSION AND TRANSMISSION OR REGENERATION OF VOICE, IMAGES OR OTHER DATA, INCLUDING SWITCHING AND ROUTING APPARATUS",2019,Greenland,0,0,0,0,"29,137",0,0,0,0,"3,016",0,0,FAS Value
852580,"TELEVISION CAMERAS, DIGITAL CAMERAS AND VIDEO CAMERA RECORDERS",2019,Greenland,0,0,0,0,0,"2,737","4,879",0,0,"7,990",0,0,FAS Value
852872,"RECEPTION APPARATUS FOR TELEVISION, COLOR, NESOI",2019,Greenland,0,0,0,0,0,0,0,0,0,"4,355",0,0,FAS Value
854430,"INSULATED IGNITION WIRING SETS AND OTHER WIRING SETS FOR VEHICLES, AIRCRAFT AND SHIPS",2019,Greenland,0,0,0,0,0,0,0,0,0,"4,997",0,0,FAS Value
870870,ROAD WHEELS AND PARTS AND ACCESSORIES THEREOF FOR MOTOR VEHICLES,2019,Greenland,0,"6,254",0,0,0,0,0,0,0,0,0,0,FAS Value
871690,"PARTS OF TRAILERS, SEMI-TRAILERS AND OTHER VEHICLES, NOT MECHANICALLY PROPELLED",2019,Greenland,0,0,0,0,0,0,0,0,0,0,0,"5,286",FAS Value
880000,"CIVILIAN AIRCRAFT, ENGINES, AND PARTS",2019,Greenland,"7,000",0,0,0,0,0,0,0,"3,375",0,0,0,FAS Value
890790,"FLOATING STRUCTURES (FOR EXAMPLE, TANKS, COFFERDAMS, LANDING-STAGES, BUOYS AND BEACONS), EXCEPT INFLATABLE RAFTS",2019,Greenland,0,0,0,0,0,0,"40,000",0,0,0,0,0,FAS Value
900211,"OBJECTIVE LENSES AND PARTS AND ACCESSORIES THEREOF FOR CAMERAS, PROJECTORS OR PHOTOGRAPHIC ENLARGERS OR REDUCERS",2019,Greenland,0,0,0,0,"4,820",0,0,0,0,0,0,0,FAS Value
900510,BINOCULARS,2019,Greenland,0,0,"5,518",0,"30,061","2,693",0,"7,591",0,0,0,0,FAS Value
901310,"TELESCOPIC SIGHTS FOR FITTING TO ARMS; PERISCOPES; TELESCOPES FOR OPTICAL, PHOTOGRAPHIC, PRECISION, MEDICAL AND ELECTRICAL MACHINES, APPLIANCES, ETC.",2019,Greenland,"9,200","3,224",0,0,"30,490","14,188",0,"16,021",0,0,"6,617",0,FAS Value
901380,"OPTICAL DEVICES, APPLIANCES AND INSTRUMENTS, NESOI",2019,Greenland,0,0,0,0,0,0,0,"4,491",0,0,0,0,FAS Value
901390,"PARTS AND ACCESSORIES FOR LIQUID CRYSTAL DEVICES, LASERS (OTHER THAN LASER DIODES) AND OTHER OPTICAL APPLIANCES AND INSTRUMENTS, NESOI",2019,Greenland,"2,913",0,0,0,0,0,0,0,0,0,0,0,FAS Value
901510,RANGEFINDERS,2019,Greenland,0,0,0,0,0,0,"36,900",0,0,0,0,0,FAS Value
901580,"SURVEYING INSTRUMENTS AND APPLIANCES, NESOI, HYDROGRAPHIC, OCEANOGRAPHIC, HYDROLOGICAL, METEOROLOGICAL OR GEOPHYSICAL INSTRUMENTS AND APPLIANCES NESOI",2019,Greenland,0,0,"216,893",0,0,0,0,0,0,0,0,0,FAS Value
901590,"PARTS ETC. FOR RANGEFINDERS AND SURVEYING, HYDROGRAPHIC, OCEAN OGRAPHIC, HYDROLOGICAL, METEOROLOGICAL OR GEOPHYSICAL INSTRUMENTS AND APPLIANCES NESOI",2019,Greenland,0,0,0,0,0,0,0,"3,713",0,0,0,0,FAS Value
902129,DENTAL FITTINGS; AND PARTS AND ACCESSORIES THEREOF,2019,Greenland,0,0,0,0,0,0,"2,576",0,0,"2,562",0,0,FAS Value
902519,"THERMOMETERS AND PYROMETERS, NOT COMBINED WITH OTHER INSTRUMENTS, NESOI",2019,Greenland,0,0,0,0,0,0,"260,000",0,0,0,0,0,FAS Value
910111,"WRIST WATCHES, BATTERY POWERED, WITH CASES OF PRECIOUS METAL (OR OF METAL CLAD WITH PRECIOUS METAL), WITH MECHANICAL DISPLAY ONLY",2019,Greenland,0,0,0,0,0,"4,200",0,0,0,0,0,0,FAS Value
910221,"WRIST WATCHES, NOT BATTERY POWERED, WITH CASES OF MATERIALS (EXCEPT OF OR CLAD WITH PRECIOUS METAL) NESOI, WITH AUTOMATIC WINDING",2019,Greenland,0,0,0,0,0,"9,825",0,0,0,0,0,0,FAS Value
910229,"WRIST WATCHES, NOT BATTERY POWERED, WITH CASES OF MATERIALS (EXCEPT OF OR CLAD WITH PRECIOUS METAL) NESOI, WITHOUT AUTOMATIC WINDING",2019,Greenland,0,0,"8,500",0,0,0,0,0,0,0,0,0,FAS Value
930330,"SPORTING, HUNTING OR TARGET-SHOOTING RIFLES, EXCEPT MUZZLE-LOADING FIREARMS AND COMBINATION SHOTGUN-RIFLES",2019,Greenland,0,0,0,0,0,0,0,0,"120,200",0,0,0,FAS Value
930520,PARTS AND ACCESSORIES OF SHOTGUNS OR RIFLES OF HEADING 9303,2019,Greenland,0,0,0,0,0,0,0,0,"6,750",0,0,0,FAS Value
960390,"HAND-OPERATED MECHANICAL (NOT MOTORIZED) FLOOR SWEEPERS, MOPS AND FEATHER DUSTERS; PREPARED KNOTS AND TUFTS FOR BROOM OR BRUSH MAKING, NESOI",2019,Greenland,0,0,0,0,"4,814",0,0,0,0,0,0,0,FAS Value
970600,ANTIQUES OF AN AGE EXCEEDING ONE HUNDRED YEARS,2019,Greenland,0,0,0,0,0,"2,975",0,0,0,0,0,0,FAS Value
