HTS_Number,Description,Country,Variable,Trade_Type,Category,Granularity,Value,Quantity_Description,Month,Year,Relevant_Date,Runtime
900510,BINOCULARS,Greenland,First Unit of Quantity,ForeignExp,Foreign,6,0,number,January,2019,2019-01-31,2026-06-26 10:18:17.294486
901310,"TELESCOPIC SIGHTS FOR FITTING TO ARMS; PERISCOPES; TELESCOPES FOR OPTICAL, PHOTOGRAPHIC, PRECISION, MEDICAL AND ELECTRICAL MACHINES, APPLIANCES, ETC.",Greenland,First Unit of Quantity,ForeignExp,Foreign,6,38,number,January,2019,2019-01-31,2026-06-26 10:18:17.294486
901380,"OPTICAL DEVICES, APPLIANCES AND INSTRUMENTS, NESOI",Greenland,First Unit of Quantity,ForeignExp,Foreign,6,0,number,January,2019,2019-01-31,2026-06-26 10:18:17.294486
901390,"PARTS AND ACCESSORIES FOR LIQUID CRYSTAL DEVICES, LASERS (OTHER THAN LASER DIODES) AND OTHER OPTICAL APPLIANCES AND INSTRUMENTS, NESOI",Greenland,First Unit of Quantity,ForeignExp,Foreign,6,2,number,January,2019,2019-01-31,2026-06-26 10:18:17.294486
901510,RANGEFINDERS,Greenland,First Unit of Quantity,ForeignExp,Foreign,6,0,number,January,2019,2019-01-31,2026-06-26 10:18:17.294486
901580,"SURVEYING INSTRUMENTS AND APPLIANCES, NESOI, HYDROGRAPHIC, OCEANOGRAPHIC, HYDROLOGICAL, METEOROLOGICAL OR GEOPHYSICAL INSTRUMENTS AND APPLIANCES NESOI",Greenland,First Unit of Quantity,ForeignExp,Foreign,6,0,no units collected,January,2019,2019-01-31,2026-06-26 10:18:17.294486
901590,"PARTS ETC. FOR RANGEFINDERS AND SURVEYING, HYDROGRAPHIC, OCEAN OGRAPHIC, HYDROLOGICAL, METEOROLOGICAL OR GEOPHYSICAL INSTRUMENTS AND APPLIANCES NESOI",Greenland,First Unit of Quantity,ForeignExp,Foreign,6,0,no units collected,January,2019,2019-01-31,2026-06-26 10:18:17.294486
902129,DENTAL FITTINGS; AND PARTS AND ACCESSORIES THEREOF,Greenland,First Unit of Quantity,ForeignExp,Foreign,6,0,no units collected,January,2019,2019-01-31,2026-06-26 10:18:17.294486
902519,"THERMOMETERS AND PYROMETERS, NOT COMBINED WITH OTHER INSTRUMENTS, NESOI",Greenland,First Unit of Quantity,ForeignExp,Foreign,6,0,number,January,2019,2019-01-31,2026-06-26 10:18:17.294486
910111,"WRIST WATCHES, BATTERY POWERED, WITH CASES OF PRECIOUS METAL (OR OF METAL CLAD WITH PRECIOUS METAL), WITH MECHANICAL DISPLAY ONLY",Greenland,First Unit of Quantity,ForeignExp,Foreign,6,0,number,January,2019,2019-01-31,2026-06-26 10:18:17.294486
910221,"WRIST WATCHES, NOT BATTERY POWERED, WITH CASES OF MATERIALS (EXCEPT OF OR CLAD WITH PRECIOUS METAL) NESOI, WITH AUTOMATIC WINDING",Greenland,First Unit of Quantity,ForeignExp,Foreign,6,0,number,January,2019,2019-01-31,2026-06-26 10:18:17.294486
910229,"WRIST WATCHES, NOT BATTERY POWERED, WITH CASES OF MATERIALS (EXCEPT OF OR CLAD WITH PRECIOUS METAL) NESOI, WITHOUT AUTOMATIC WINDING",Greenland,First Unit of Quantity,ForeignExp,Foreign,6,0,number,January,2019,2019-01-31,2026-06-26 10:18:17.294486
930330,"SPORTING, HUNTING OR TARGET-SHOOTING RIFLES, EXCEPT MUZZLE-LOADING FIREARMS AND COMBINATION SHOTGUN-RIFLES",Greenland,First Unit of Quantity,ForeignExp,Foreign,6,0,number,January,2019,2019-01-31,2026-06-26 10:18:17.294486
930520,PARTS AND ACCESSORIES OF SHOTGUNS OR RIFLES OF HEADING 9303,Greenland,First Unit of Quantity,ForeignExp,Foreign,6,0,no units collected,January,2019,2019-01-31,2026-06-26 10:18:17.294486
960390,"HAND-OPERATED MECHANICAL (NOT MOTORIZED) FLOOR SWEEPERS, MOPS AND FEATHER DUSTERS; PREPARED KNOTS AND TUFTS FOR BROOM OR BRUSH MAKING, NESOI",Greenland,First Unit of Quantity,ForeignExp,Foreign,6,0,number,January,2019,2019-01-31,2026-06-26 10:18:17.294486
970600,ANTIQUES OF AN AGE EXCEEDING ONE HUNDRED YEARS,Greenland,First Unit of Quantity,ForeignExp,Foreign,6,0,no units collected,January,2019,2019-01-31,2026-06-26 10:18:17.294486
401190,"NEW PNEUMATIC TIRES OF RUBBER, NESOI",Greenland,First Unit of Quantity,ForeignExp,Foreign,6,0,number,February,2019,2019-02-28,2026-06-26 10:18:17.294486
630622,"TENTS, OF SYNTHETIC FIBERS",Greenland,First Unit of Quantity,ForeignExp,Foreign,6,0,kilograms,February,2019,2019-02-28,2026-06-26 10:18:17.294486
630790,"MADE-UP TEXTILE ARTICLES, NESOI",Greenland,First Unit of Quantity,ForeignExp,Foreign,6,0,kilograms,February,2019,2019-02-28,2026-06-26 10:18:17.294486
700719,"TOUGHENED (TEMPERED) SAFETY GLASS, NOT SUITABLE FOR INCORPORATION IN VEHICLES, AIRCRAFT, SPACECRAFT OR VESSELS",Greenland,First Unit of Quantity,ForeignExp,Foreign,6,0,square meters,February,2019,2019-02-28,2026-06-26 10:18:17.294486
732690,"ARTICLES OF IRON OR STEEL, NESOI",Greenland,First Unit of Quantity,ForeignExp,Foreign,6,0,kilograms,February,2019,2019-02-28,2026-06-26 10:18:17.294486
840734,"SPARK-IGNITION RECIPROCATING PISTON ENGINES FOR PROPULSION OF VEHICLES EXCEPT RAILWAY OR TRAMWAY STOCK, OVER 1,000 CC CYLINDER CAPACITY",Greenland,First Unit of Quantity,ForeignExp,Foreign,6,0,number,February,2019,2019-02-28,2026-06-26 10:18:17.294486
