HTS_Number,Description,Country,Variable,Trade_Type,Category,Granularity,Value,Quantity_Description,Month,Year,Relevant_Date,Runtime
303,"FISH, FROZEN, EXCLUDING FISH FILLETS AND OTHER FISH MEAT WITHOUT BONES; FISH LIVERS AND ROES, FROZEN",Greenland,General First Unit of Quantity,GenImp,General,4,0,kilograms,January,2020,2020-01-31,2026-06-26 10:02:15.924423
304,"FISH FILLETS AND OTHER FISH MEAT (WHETHER OR NOT MINCED), FRESH, CHILLED OR FROZEN",Greenland,General First Unit of Quantity,GenImp,General,4,0,kilograms,January,2020,2020-01-31,2026-06-26 10:02:15.924423
306,"CRUSTACEANS, LIVE FRESH CHILLED FROZEN DRIED ETC; SMOKED; IN SHELL, COOKED BY STEAM OR BOILING WATER; FLOURS, MEALS & PELLETS FOR HUMAN CONSUMPTION",Greenland,General First Unit of Quantity,GenImp,General,4,113739,kilograms,January,2020,2020-01-31,2026-06-26 10:02:15.924423
307,"MOLLUSCS, LIVE, FRESH, CHILLED, FROZEN, DRIED, SALTED OR IN BRINE; SMOKED; FLOURS, MEALS AND PELLETS, FIT FOR HUMAN CONSUMPTION",Greenland,General First Unit of Quantity,GenImp,General,4,0,kilograms,January,2020,2020-01-31,2026-06-26 10:02:15.924423
705,"LETTUCE (LACTUCA SATIVA) AND CHICORY (CICHORIUM SPP.), FRESH OR CHILLED",Greenland,General First Unit of Quantity,GenImp,General,4,0,kilograms,January,2020,2020-01-31,2026-06-26 10:02:15.924423
1605,"CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTEBRATES, PREPARED OR PRESERVED",Greenland,General First Unit of Quantity,GenImp,General,4,0,kilograms,January,2020,2020-01-31,2026-06-26 10:02:15.924423
2208,"ETHYL ALCOHOL, UNDENATURED, OF AN ALCOHOLIC STRENGTH BY VOLUME OF UNDER 80% VOL.; SPIRITS, LIQUEURS AND OTHER SPIRITUOUS BEVERAGES",Greenland,General First Unit of Quantity,GenImp,General,4,0,proof liters,January,2020,2020-01-31,2026-06-26 10:02:15.924423
2529,FELDSPAR; LEUCITE; NEPHELINE AND NEPHELINE SYENITE; FLUORSPAR,Greenland,General First Unit of Quantity,GenImp,General,4,0,metric tons,January,2020,2020-01-31,2026-06-26 10:02:15.924423
4301,"RAW FURSKINS NESOI (OTHER THAN RAW HIDES AND SKINS USUALLY USED FOR LEATHER), INCLUDING HEADS, TAILS AND PIECES OR CUTTINGS SUITABLE FOR FURRIERS' USE",Greenland,General First Unit of Quantity,GenImp,General,4,0,number,January,2020,2020-01-31,2026-06-26 10:02:15.924423
7103,"PRECIOUS AND SEMIPRECIOUS STONES (NO DIAMONDS), NOT STRUNG, MOUNTED ETC.; UNGRADED PRECIOUS AND SEMIPRECIOUS STONES (NO DIAMONDS) STRUNG FOR TRANSPORT",Greenland,General First Unit of Quantity,GenImp,General,4,11303,carats,January,2020,2020-01-31,2026-06-26 10:02:15.924423
8903,YACHTS AND OTHER VESSELS FOR PLEASURE OR SPORTS; ROW BOATS AND CANOES,Greenland,General First Unit of Quantity,GenImp,General,4,0,number,January,2020,2020-01-31,2026-06-26 10:02:15.924423
9003,"FRAMES AND MOUNTINGS FOR SPECTACLES, GOGGLES OR THE LIKE, AND PARTS THEREOF",Greenland,General First Unit of Quantity,GenImp,General,4,0,dozens,January,2020,2020-01-31,2026-06-26 10:02:15.924423
9705,"COLLECTIONS AND COLLECTORS' PIECES OF ZOOLOGICAL, BOTANICAL, MINERALOGICAL, HISTORICAL, ARCHAELOGICAL, NUMISMATIC OR OTHER INTEREST",Greenland,General First Unit of Quantity,GenImp,General,4,0,grams,January,2020,2020-01-31,2026-06-26 10:02:15.924423
9705,"COLLECTIONS AND COLLECTORS' PIECES OF ZOOLOGICAL, BOTANICAL, MINERALOGICAL, HISTORICAL, ARCHAELOGICAL, NUMISMATIC OR OTHER INTEREST",Greenland,General First Unit of Quantity,GenImp,General,4,0,kilograms,January,2020,2020-01-31,2026-06-26 10:02:15.924423
9801,"EXPORTS OF ARTICLES IMPORTED FOR REPAIRS ETC.; IMPORTS OF ARTICLES EXPORTED AND RETURNED, UNADVANCED; IMPORTS OF ANIMALS EXPORTED AND RETURNED",Greenland,General First Unit of Quantity,GenImp,General,4,0,kilograms,January,2020,2020-01-31,2026-06-26 10:02:15.924423
9801,"EXPORTS OF ARTICLES IMPORTED FOR REPAIRS ETC.; IMPORTS OF ARTICLES EXPORTED AND RETURNED, UNADVANCED; IMPORTS OF ANIMALS EXPORTED AND RETURNED",Greenland,General First Unit of Quantity,GenImp,General,4,0,no units collected,January,2020,2020-01-31,2026-06-26 10:02:15.924423
9801,"EXPORTS OF ARTICLES IMPORTED FOR REPAIRS ETC.; IMPORTS OF ARTICLES EXPORTED AND RETURNED, UNADVANCED; IMPORTS OF ANIMALS EXPORTED AND RETURNED",Greenland,General First Unit of Quantity,GenImp,General,4,175,number,January,2020,2020-01-31,2026-06-26 10:02:15.924423
9999,SALVAGE; ESTIMATE OF LOW VALUED IMPORT TRANSACTIONS,Greenland,General First Unit of Quantity,GenImp,General,4,0,no units collected,January,2020,2020-01-31,2026-06-26 10:02:15.924423
303,"FISH, FROZEN, EXCLUDING FISH FILLETS AND OTHER FISH MEAT WITHOUT BONES; FISH LIVERS AND ROES, FROZEN",Greenland,General First Unit of Quantity,GenImp,General,4,20684,kilograms,February,2020,2020-02-29,2026-06-26 10:02:15.924423
304,"FISH FILLETS AND OTHER FISH MEAT (WHETHER OR NOT MINCED), FRESH, CHILLED OR FROZEN",Greenland,General First Unit of Quantity,GenImp,General,4,3737,kilograms,February,2020,2020-02-29,2026-06-26 10:02:15.924423
306,"CRUSTACEANS, LIVE FRESH CHILLED FROZEN DRIED ETC; SMOKED; IN SHELL, COOKED BY STEAM OR BOILING WATER; FLOURS, MEALS & PELLETS FOR HUMAN CONSUMPTION",Greenland,General First Unit of Quantity,GenImp,General,4,126528,kilograms,February,2020,2020-02-29,2026-06-26 10:02:15.924423
307,"MOLLUSCS, LIVE, FRESH, CHILLED, FROZEN, DRIED, SALTED OR IN BRINE; SMOKED; FLOURS, MEALS AND PELLETS, FIT FOR HUMAN CONSUMPTION",Greenland,General First Unit of Quantity,GenImp,General,4,0,kilograms,February,2020,2020-02-29,2026-06-26 10:02:15.924423
705,"LETTUCE (LACTUCA SATIVA) AND CHICORY (CICHORIUM SPP.), FRESH OR CHILLED",Greenland,General First Unit of Quantity,GenImp,General,4,0,kilograms,February,2020,2020-02-29,2026-06-26 10:02:15.924423
1605,"CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTEBRATES, PREPARED OR PRESERVED",Greenland,General First Unit of Quantity,GenImp,General,4,0,kilograms,February,2020,2020-02-29,2026-06-26 10:02:15.924423
2208,"ETHYL ALCOHOL, UNDENATURED, OF AN ALCOHOLIC STRENGTH BY VOLUME OF UNDER 80% VOL.; SPIRITS, LIQUEURS AND OTHER SPIRITUOUS BEVERAGES",Greenland,General First Unit of Quantity,GenImp,General,4,0,proof liters,February,2020,2020-02-29,2026-06-26 10:02:15.924423
2529,FELDSPAR; LEUCITE; NEPHELINE AND NEPHELINE SYENITE; FLUORSPAR,Greenland,General First Unit of Quantity,GenImp,General,4,0,metric tons,February,2020,2020-02-29,2026-06-26 10:02:15.924423
4301,"RAW FURSKINS NESOI (OTHER THAN RAW HIDES AND SKINS USUALLY USED FOR LEATHER), INCLUDING HEADS, TAILS AND PIECES OR CUTTINGS SUITABLE FOR FURRIERS' USE",Greenland,General First Unit of Quantity,GenImp,General,4,0,number,February,2020,2020-02-29,2026-06-26 10:02:15.924423
7103,"PRECIOUS AND SEMIPRECIOUS STONES (NO DIAMONDS), NOT STRUNG, MOUNTED ETC.; UNGRADED PRECIOUS AND SEMIPRECIOUS STONES (NO DIAMONDS) STRUNG FOR TRANSPORT",Greenland,General First Unit of Quantity,GenImp,General,4,0,carats,February,2020,2020-02-29,2026-06-26 10:02:15.924423
8903,YACHTS AND OTHER VESSELS FOR PLEASURE OR SPORTS; ROW BOATS AND CANOES,Greenland,General First Unit of Quantity,GenImp,General,4,0,number,February,2020,2020-02-29,2026-06-26 10:02:15.924423
9003,"FRAMES AND MOUNTINGS FOR SPECTACLES, GOGGLES OR THE LIKE, AND PARTS THEREOF",Greenland,General First Unit of Quantity,GenImp,General,4,0,dozens,February,2020,2020-02-29,2026-06-26 10:02:15.924423
9705,"COLLECTIONS AND COLLECTORS' PIECES OF ZOOLOGICAL, BOTANICAL, MINERALOGICAL, HISTORICAL, ARCHAELOGICAL, NUMISMATIC OR OTHER INTEREST",Greenland,General First Unit of Quantity,GenImp,General,4,3,grams,February,2020,2020-02-29,2026-06-26 10:02:15.924423
9705,"COLLECTIONS AND COLLECTORS' PIECES OF ZOOLOGICAL, BOTANICAL, MINERALOGICAL, HISTORICAL, ARCHAELOGICAL, NUMISMATIC OR OTHER INTEREST",Greenland,General First Unit of Quantity,GenImp,General,4,0,kilograms,February,2020,2020-02-29,2026-06-26 10:02:15.924423
9801,"EXPORTS OF ARTICLES IMPORTED FOR REPAIRS ETC.; IMPORTS OF ARTICLES EXPORTED AND RETURNED, UNADVANCED; IMPORTS OF ANIMALS EXPORTED AND RETURNED",Greenland,General First Unit of Quantity,GenImp,General,4,176,kilograms,February,2020,2020-02-29,2026-06-26 10:02:15.924423
9801,"EXPORTS OF ARTICLES IMPORTED FOR REPAIRS ETC.; IMPORTS OF ARTICLES EXPORTED AND RETURNED, UNADVANCED; IMPORTS OF ANIMALS EXPORTED AND RETURNED",Greenland,General First Unit of Quantity,GenImp,General,4,0,no units collected,February,2020,2020-02-29,2026-06-26 10:02:15.924423
9801,"EXPORTS OF ARTICLES IMPORTED FOR REPAIRS ETC.; IMPORTS OF ARTICLES EXPORTED AND RETURNED, UNADVANCED; IMPORTS OF ANIMALS EXPORTED AND RETURNED",Greenland,General First Unit of Quantity,GenImp,General,4,0,number,February,2020,2020-02-29,2026-06-26 10:02:15.924423
9999,SALVAGE; ESTIMATE OF LOW VALUED IMPORT TRANSACTIONS,Greenland,General First Unit of Quantity,GenImp,General,4,0,no units collected,February,2020,2020-02-29,2026-06-26 10:02:15.924423
303,"FISH, FROZEN, EXCLUDING FISH FILLETS AND OTHER FISH MEAT WITHOUT BONES; FISH LIVERS AND ROES, FROZEN",Greenland,General First Unit of Quantity,GenImp,General,4,0,kilograms,March,2020,2020-03-31,2026-06-26 10:02:15.924423
304,"FISH FILLETS AND OTHER FISH MEAT (WHETHER OR NOT MINCED), FRESH, CHILLED OR FROZEN",Greenland,General First Unit of Quantity,GenImp,General,4,0,kilograms,March,2020,2020-03-31,2026-06-26 10:02:15.924423
306,"CRUSTACEANS, LIVE FRESH CHILLED FROZEN DRIED ETC; SMOKED; IN SHELL, COOKED BY STEAM OR BOILING WATER; FLOURS, MEALS & PELLETS FOR HUMAN CONSUMPTION",Greenland,General First Unit of Quantity,GenImp,General,4,38540,kilograms,March,2020,2020-03-31,2026-06-26 10:02:15.924423
307,"MOLLUSCS, LIVE, FRESH, CHILLED, FROZEN, DRIED, SALTED OR IN BRINE; SMOKED; FLOURS, MEALS AND PELLETS, FIT FOR HUMAN CONSUMPTION",Greenland,General First Unit of Quantity,GenImp,General,4,0,kilograms,March,2020,2020-03-31,2026-06-26 10:02:15.924423
705,"LETTUCE (LACTUCA SATIVA) AND CHICORY (CICHORIUM SPP.), FRESH OR CHILLED",Greenland,General First Unit of Quantity,GenImp,General,4,0,kilograms,March,2020,2020-03-31,2026-06-26 10:02:15.924423
