HTS Number,Description,Year,Country,January,February,March,April,May,June,July,August,September,October,November,December,Variable
0303,"FISH, FROZEN, EXCLUDING FISH FILLETS AND OTHER FISH MEAT WITHOUT BONES; FISH LIVERS AND ROES, FROZEN",2020,Greenland,0,"124,349",0,0,"176,550",0,"91,200",0,"176,550",0,0,0,Customs Value
0304,"FISH FILLETS AND OTHER FISH MEAT (WHETHER OR NOT MINCED), FRESH, CHILLED OR FROZEN",2020,Greenland,0,"19,164",0,0,0,0,"3,582","75,000",0,0,"35,224","232,655",Customs Value
0306,"CRUSTACEANS, LIVE FRESH CHILLED FROZEN DRIED ETC; SMOKED; IN SHELL, COOKED BY STEAM OR BOILING WATER; FLOURS, MEALS & PELLETS FOR HUMAN CONSUMPTION",2020,Greenland,"2,031,777","2,491,913","772,409","518,130","991,303","1,989,329","3,229,245","2,103,495","4,277,155","2,614,830","2,067,594","3,622,250",Customs Value
0307,"MOLLUSCS, LIVE, FRESH, CHILLED, FROZEN, DRIED, SALTED OR IN BRINE; SMOKED; FLOURS, MEALS AND PELLETS, FIT FOR HUMAN CONSUMPTION",2020,Greenland,0,0,0,0,0,0,0,"23,115",0,0,0,0,Customs Value
0705,"LETTUCE (LACTUCA SATIVA) AND CHICORY (CICHORIUM SPP.), FRESH OR CHILLED",2020,Greenland,0,0,0,0,0,0,0,0,0,0,"7,566",0,Customs Value
1605,"CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTEBRATES, PREPARED OR PRESERVED",2020,Greenland,0,0,0,0,0,0,"465,753","454,966",0,0,"27,505","2,330",Customs Value
2208,"ETHYL ALCOHOL, UNDENATURED, OF AN ALCOHOLIC STRENGTH BY VOLUME OF UNDER 80% VOL.; SPIRITS, LIQUEURS AND OTHER SPIRITUOUS BEVERAGES",2020,Greenland,0,0,0,0,0,"3,007",0,0,0,0,0,0,Customs Value
2529,FELDSPAR; LEUCITE; NEPHELINE AND NEPHELINE SYENITE; FLUORSPAR,2020,Greenland,0,0,0,0,0,0,0,0,0,0,"5,500",0,Customs Value
4301,"RAW FURSKINS NESOI (OTHER THAN RAW HIDES AND SKINS USUALLY USED FOR LEATHER), INCLUDING HEADS, TAILS AND PIECES OR CUTTINGS SUITABLE FOR FURRIERS' USE",2020,Greenland,0,0,0,0,0,0,0,"2,141",0,0,0,0,Customs Value
7103,"PRECIOUS AND SEMIPRECIOUS STONES (NO DIAMONDS), NOT STRUNG, MOUNTED ETC.; UNGRADED PRECIOUS AND SEMIPRECIOUS STONES (NO DIAMONDS) STRUNG FOR TRANSPORT",2020,Greenland,"14,812",0,0,0,0,0,0,0,0,"5,000",0,"7,422",Customs Value
8903,YACHTS AND OTHER VESSELS FOR PLEASURE OR SPORTS; ROW BOATS AND CANOES,2020,Greenland,0,0,0,"2,241",0,0,0,0,0,0,0,0,Customs Value
9003,"FRAMES AND MOUNTINGS FOR SPECTACLES, GOGGLES OR THE LIKE, AND PARTS THEREOF",2020,Greenland,0,0,0,0,0,"3,146",0,0,0,0,0,0,Customs Value
9705,"COLLECTIONS AND COLLECTORS' PIECES OF ZOOLOGICAL, BOTANICAL, MINERALOGICAL, HISTORICAL, ARCHAELOGICAL, NUMISMATIC OR OTHER INTEREST",2020,Greenland,0,"6,000",0,0,0,0,0,"3,822",0,"25,000",0,0,Customs Value
9801,"EXPORTS OF ARTICLES IMPORTED FOR REPAIRS ETC.; IMPORTS OF ARTICLES EXPORTED AND RETURNED, UNADVANCED; IMPORTS OF ANIMALS EXPORTED AND RETURNED",2020,Greenland,"85,000","38,430","16,777",0,0,0,0,0,0,0,"12,463","2,633",Customs Value
9999,SALVAGE; ESTIMATE OF LOW VALUED IMPORT TRANSACTIONS,2020,Greenland,"1,025",548,0,"1,538","2,511",167,979,"3,200","1,263",742,"4,502","4,841",Customs Value
