HTS Number,Description,Year,Country,Quantity Description,January,February,March,April,May,June,July,August,September,October,November,December,Variable
4011,"NEW PNEUMATIC TIRES, OF RUBBER",2019,Greenland,number,0,0,64,0,0,0,0,0,0,0,0,84,First Unit of Quantity
6306,"TARPAULINS, SAILS FOR BOATS, SAILBOARDS OR LANDCRAFT, AWNINGS, SUNBLINDS, TENTS AND CAMPING GOODS, OF TEXTILE MATERIALS",2019,Greenland,kilograms,0,0,0,0,0,0,0,0,0,0,560,0,First Unit of Quantity
6307,MADE-UP ARTICLES OF TEXTILE MATERIALS NESOI,2019,Greenland,kilograms,0,0,0,0,0,0,0,0,0,0,108,0,First Unit of Quantity
7007,"SAFETY GLASS, CONSISTING OF TOUGHENED (TEMPERED) OR LAMINATED GLASS",2019,Greenland,square meters,7,0,0,0,0,0,0,0,0,0,0,0,First Unit of Quantity
7326,"ARTICLES OF IRON OR STEEL, NESOI",2019,Greenland,kilograms,0,0,0,0,0,0,0,0,0,0,327,0,First Unit of Quantity
8407,SPARK-IGNITION RECIPROCATING OR ROTARY INTERNAL COMBUSTION PISTON ENGINES,2019,Greenland,number,0,0,0,0,0,0,0,3,0,0,0,0,First Unit of Quantity
8413,"PUMPS FOR LIQUIDS, WITH OR WITHOUT A MEASURING DEVICE; LIQUID ELEVATORS; PARTS THEREOF",2019,Greenland,number,0,0,2,0,0,0,0,0,0,0,0,0,First Unit of Quantity
8424,MECHANICAL APPLIANCES FOR DISPERSING LIQUID OR POWDER; FIRE EXTINGUISHERS; SPRAY GUNS ETC.; STEAM OR SAND BLASTING AND SIMILAR MACHINES; PARTS THEREOF,2019,Greenland,number,0,0,1,0,0,0,0,0,0,0,0,0,First Unit of Quantity
8425,PULLEY TACKLE AND HOISTS OTHER THAN SKIP HOISTS; WINCHES AND CAPSTANS; JACKS,2019,Greenland,number,0,0,4,0,0,0,0,0,0,0,0,0,First Unit of Quantity
8431,"PARTS OF MACHINERY OF HEADINGS 8425 TO 8430 COVERING DERRICKS, FORK-LIFT TRUCKS, CONVEYERS, SELF-PROPELLED BULLDOZERS, GRADERS, SNOWPLOWS, ETC.",2019,Greenland,no units collected,0,0,0,0,0,0,0,0,0,0,0,0,First Unit of Quantity
8471,"AUTOMATIC DATA PROCESSING MACHINES AND UNITS THEREOF; MAGNETIC OR OPTICAL READERS, MACHINES FOR TRANSCRIBING AND PROCESSING CODED DATA, NESOI",2019,Greenland,number,2,0,11,0,0,0,0,0,0,1,0,0,First Unit of Quantity
8473,PARTS AND ACCESSORIES NESOI FOR TYPEWRITERS AND OTHER OFFICE MACHINES OF HEADINGS 8469 TO 8472,2019,Greenland,no units collected,0,0,0,0,0,0,0,0,0,0,0,0,First Unit of Quantity
8517,"ELECTRICAL APPARATUS FOR LINE TELEPHONY OR LINE TELEGRAPHY, INCLUDING SUCH APPARATUS FOR CARRIER-CURRENT OR DIGITAL LINE SYSTEMS; PARTS THEREOF",2019,Greenland,no units collected,0,0,0,0,0,0,0,0,0,0,0,0,First Unit of Quantity
8517,"ELECTRICAL APPARATUS FOR LINE TELEPHONY OR LINE TELEGRAPHY, INCLUDING SUCH APPARATUS FOR CARRIER-CURRENT OR DIGITAL LINE SYSTEMS; PARTS THEREOF",2019,Greenland,number,0,0,0,50,0,0,0,0,0,0,0,0,First Unit of Quantity
8525,"TRANSMISSION APPARATUS FOR RADIOTELEPHONY, RADIOTELEGRAPHY, RADIOBROADCASTING OR TV; TV CAMERAS; STILL IMAGE VIDEO CAMERAS AND RECRDRS;DIGITAL CAMERAS",2019,Greenland,number,0,0,0,0,0,23,41,0,0,10,0,0,First Unit of Quantity
8528,"TELEVISION RECEIVERS, INCLUDING VIDEO MONITORS AND VIDEO PROJECTORS",2019,Greenland,number,0,0,0,0,0,0,0,0,0,12,0,0,First Unit of Quantity
8544,"INSULATED WIRE, CABLE AND OTHER INSULATED ELECTRICAL CONDUCTORS; OPTICAL FIBER CABLES, OF INDIVIDUALLY SHEATHED FIBERS, WITH CONDUCTORS ETC. OR NOT",2019,Greenland,number,0,0,0,0,0,0,0,0,0,2,0,0,First Unit of Quantity
8708,"PARTS AND ACCESSORIES FOR TRACTORS, PUBLIC-TRANSPORT PASSENGER VEHICLES, MOTOR CARS, GOODS TRANSPORT MOTOR VEHICLES AND SPECIAL PURPOSE MOTOR VEHICLES",2019,Greenland,no units collected,0,0,0,0,0,0,0,0,0,0,0,0,First Unit of Quantity
8716,"TRAILERS AND SEMI-TRAILERS; OTHER VEHICLES, NOT MECHANICALLY PROPELLED; AND PARTS THEREOF",2019,Greenland,kilograms,0,0,0,0,0,0,0,0,0,0,0,676,First Unit of Quantity
8800,"CIVILIAN AIRCRAFT, ENGINES, AND PARTS",2019,Greenland,no units collected,0,0,0,0,0,0,0,0,0,0,0,0,First Unit of Quantity
8907,"FLOATING STRUCTURES NESOI (INCLUDING RAFTS, TANKS, COFFERDAMS, LANDING STAGES, BUOYS AND BEACONS)",2019,Greenland,no units collected,0,0,0,0,0,0,0,0,0,0,0,0,First Unit of Quantity
9002,"OPTICAL ELEMENTS (INCLUDING LENSES, PRISMS AND MIRRORS), MOUNTED, EXCLUDING ELEMENTS OF GLASS NOT OPTICALLY WORKED; PARTS AND ACCESSORIES THEREOF",2019,Greenland,number,0,0,0,0,1,0,0,0,0,0,0,0,First Unit of Quantity
9005,"BINOCULARS, MONOCULARS, OTHER OPTICAL TELESCOPES OR ASTRONOMICAL INSTRUMENTS, EXCEPT FOR RADIO-ASTRONOMY; PARTS AND ACCESSORIES, INCLUDING MOUNTINGS",2019,Greenland,number,0,0,74,0,"1,225",29,0,99,0,0,0,0,First Unit of Quantity
9013,"LIQUID CRYSTAL DEVICES NESOI; LASERS, OTHER THAN LASER DIODES; OPTICAL APPLIANCES AND INSTRUMENTS NESOI; PARTS AND ACCESSORIES THEREOF",2019,Greenland,number,40,12,0,0,495,92,0,134,0,0,17,0,First Unit of Quantity
9015,"SURVEYING, HYDROGRAPHIC, OCEANOGRAPHIC, HYDROLOGICAL, METEOROLOGICAL OR GEOPHYSICAL INSTRUMENTS ETC. NESOI; RANGEFINDERS; PARTS AND ACCESSORIES",2019,Greenland,no units collected,0,0,0,0,0,0,0,0,0,0,0,0,First Unit of Quantity
9015,"SURVEYING, HYDROGRAPHIC, OCEANOGRAPHIC, HYDROLOGICAL, METEOROLOGICAL OR GEOPHYSICAL INSTRUMENTS ETC. NESOI; RANGEFINDERS; PARTS AND ACCESSORIES",2019,Greenland,number,0,0,0,0,0,0,9,0,0,0,0,0,First Unit of Quantity
9021,ORTHOPEDIC APPLIANCES; SPLINTS ETC.; ARTIFICIAL PARTS OF THE BODY; HEARING AIDS AND OTHER APPLIANCES TO COMPENSATE FOR A DEFECT ETC.; PARTS ETC.,2019,Greenland,no units collected,0,0,0,0,0,0,0,0,0,0,0,0,First Unit of Quantity
