HTS_Number,Description,Country,Variable,Trade_Type,Category,Granularity,Value,Quantity_Description,Month,Year,Relevant_Date,Runtime
890399,"YACHTS AND OTHER VESSELS FOR PLEASURE OR SPORTS; ROW BOATS AND CANOES, NESOI",Greenland,General First Unit of Quantity,GenImp,General,6,1,number,April,2020,2020-04-30,2026-06-26 10:23:25.414184
900311,"FRAMES AND MOUNTINGS FOR SPECTACLES, GOGGLES OR THE LIKE, OF PLASTICS",Greenland,General First Unit of Quantity,GenImp,General,6,0,dozens,April,2020,2020-04-30,2026-06-26 10:23:25.414184
970500,"COLLECTIONS AND COLLECTORS' PIECES OF ZOOLOGICAL, BOTANICAL, MINERALOGICAL, HISTORICAL, ARCHAELOGICAL, NUMISMATIC OR OTHER INTEREST",Greenland,General First Unit of Quantity,GenImp,General,6,0,grams,April,2020,2020-04-30,2026-06-26 10:23:25.414184
970500,"COLLECTIONS AND COLLECTORS' PIECES OF ZOOLOGICAL, BOTANICAL, MINERALOGICAL, HISTORICAL, ARCHAELOGICAL, NUMISMATIC OR OTHER INTEREST",Greenland,General First Unit of Quantity,GenImp,General,6,0,kilograms,April,2020,2020-04-30,2026-06-26 10:23:25.414184
980100,"IMPORTS OF ARTICLES EXPORTED AND RETURNED, NOT ADVANCED IN VALUE OR CONDITION; IMPORTS OF ANIMALS EXPORTED AND RETURNED WITHIN 8 MONTHS",Greenland,General First Unit of Quantity,GenImp,General,6,0,kilograms,April,2020,2020-04-30,2026-06-26 10:23:25.414184
980100,"IMPORTS OF ARTICLES EXPORTED AND RETURNED, NOT ADVANCED IN VALUE OR CONDITION; IMPORTS OF ANIMALS EXPORTED AND RETURNED WITHIN 8 MONTHS",Greenland,General First Unit of Quantity,GenImp,General,6,0,no units collected,April,2020,2020-04-30,2026-06-26 10:23:25.414184
980100,"IMPORTS OF ARTICLES EXPORTED AND RETURNED, NOT ADVANCED IN VALUE OR CONDITION; IMPORTS OF ANIMALS EXPORTED AND RETURNED WITHIN 8 MONTHS",Greenland,General First Unit of Quantity,GenImp,General,6,0,number,April,2020,2020-04-30,2026-06-26 10:23:25.414184
999995,ESTIMATED IMPORTS OF LOW VALUED TRANSACTIONS,Greenland,General First Unit of Quantity,GenImp,General,6,0,no units collected,April,2020,2020-04-30,2026-06-26 10:23:25.414184
30331,"HALIBUT AND GREENLAND TURBOT (REINHARDTIUS HIPPOGLOSSOIDES, HIPPOGLOSSUS HIPPOGLOSSUS, HIPPOGLOSSUS STENOLEPIS) EXCEPT FILLETS, LIVERS OR ROES, FROZEN",Greenland,General First Unit of Quantity,GenImp,General,6,28024,kilograms,May,2020,2020-05-31,2026-06-26 10:23:25.414184
30471,"COD (GADUS MORHUA, GADUS OGAC, GADUS MACROCEPHALUS) FILLETS, FROZEN",Greenland,General First Unit of Quantity,GenImp,General,6,0,kilograms,May,2020,2020-05-31,2026-06-26 10:23:25.414184
30483,"FLAT FISH (PLEURONECTIDAE, BOTHIDAE, CYNOGLOSSIDAE, SOLEIDAE, SCOPHTHALMIDAE AND CITHARIDAE) FILLETS, FROZEN",Greenland,General First Unit of Quantity,GenImp,General,6,0,kilograms,May,2020,2020-05-31,2026-06-26 10:23:25.414184
